cat,label,wdpaid,wdpa_id
3865,,100672,1006723865
4162,,100672,1006724162
1020,,100672,1006721020
17466,,100672,10067217466
11116,,100672,10067211116
11116,,100672,10067211116
11116,,100672,10067211116
11116,,100672,10067211116
9861,,100672,1006729861
9861,,100672,1006729861
9861,,100672,1006729861
17012,,100672,10067217012
17012,,100672,10067217012
11116,,100672,10067211116
17012,,100672,10067217012
17012,,100672,10067217012
17466,,100672,10067217466
17012,,100672,10067217012
17012,,100672,10067217012
17466,,100672,10067217466
17466,,100672,10067217466
410,,100673,100673410
1531,,100673,1006731531
410,,100673,100673410
1531,,100673,1006731531
1531,,100673,1006731531
1531,,100673,1006731531
410,,100673,100673410
3336,,100673,1006733336
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
7958,,100673,1006737958
8059,,100673,1006738059
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
8059,,100673,1006738059
8059,,100673,1006738059
8059,,100673,1006738059
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
7958,,100673,1006737958
1,,100676,1006761
1,,100676,1006761
129,,1007,1007129
561,,100712,100712561
561,,100712,100712561
1624,,100713,1007131624
2713,,100713,1007132713
2713,,100713,1007132713
2713,,100713,1007132713
1624,,100713,1007131624
2713,,100713,1007132713
2713,,100713,1007132713
2713,,100713,1007132713
653,,100716,100716653
5623,,100716,1007165623
5623,,100716,1007165623
6200,,100716,1007166200
192,,100719,100719192
309,,100720,100720309
105,,100721,100721105
105,,100721,100721105
343,,100722,100722343
343,,100722,100722343
343,,100722,100722343
343,,100722,100722343
343,,100722,100722343
343,,100722,100722343
343,,100722,100722343
62,,100731,10073162
96,,100747,10074796
1509,,100764,1007641509
1509,,100764,1007641509
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
8338,,1008,10088338
